Job Title,Company,Salary,URL
Web Developer,Easy Entrance Pvt. Ltd.,NA,https://in.indeed.com/viewjob?jk=52be1d419fee14d5&q=web+developer&l=India&tk=1h0tlf203jl35801&from=web&advn=972297919181486&adid=383922687&ad=-6NYlbfkN0Dc6VXvvDaZdfl88eIkmmDW4Y8eGTRxbh6laCgR5iMCbYnwMWOPGloAEj0b7Ywg1ctKBKcAykNihreduZE96lMSiAwUR3wvErTc27T0Pg_TztjIx3BUXOiM-ZRR-K_FH6HBTcj6twrbiT_KKx-0zjh_ZWBJCpVIw6s9AeLUqlfATxAm8C9-tF0WET1L5tHFG5vF9ESGaWz87uRegX2GBYFu44CpcIR3zNmWXFG1SCKll5Oza9dEGGH9ywJs5fCQGCDD0OGDq7jjbvA4zomrb86kjSg6gXmYDCNUjIKTWgnLm9WbK9kQl5qAVa8CZuoU4WL9ei4JG7LJU49Iqm9SZLZn2vzuTTJhd15_Tp-t6quWtlhfaVpMbQYtgGKeNCMvTPTK2A0gT5BCj-WGUI4WRoB2I96oZWF6SYI%3D&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoDJ-_M3PdiznW2HKp0LbzkdCdPP&vjs=3
Web Developer,What Digital Technologies Pvt Ltd,"₹75,000 - ₹1,00,000 a month",https://in.indeed.com/viewjob?jk=1385ade676f405ab&q=web+developer&l=India&tk=1h0tlf203jl35801&from=web&advn=2505797102009176&adid=368702940&ad=-6NYlbfkN0DSGO7EiuilP5HXHFD-qP_bj7ZVIhHbe2JYxOn0rKq5_Xb5bLfdNY0SefJpcFwvd0C5KuViLLMRclhcwWCfxm1z8bF5W3QH9qPaQKcGj4K6taKfrv1y-KWQDP2YIEKME_7j-h_B0e_5EZxt5qazp08yOQw5ARok0oM-FQIWEGFQNxO46u8EWQF7XnDrjmNjn6TtM1cRYva8wpxyc7Av980rvBm0z_yqlEB4Fj0Ss-rB_KrMwe54TUNj7F75QgiC4_mRcHELRccOrG2Edp2Mphrb7WA9pBAUK0FQchT2Bqus6_zqNTX2rZTr8tEBQ58rHfzNATDuAp2i7r3VACEOMbp9eo2ckHkyAlfCV-dH_RKD4NnWd2Tp9Cds9EZVktGGVbKR0zSsKLx_vlD4IM4-6nxgGMNVPYtzTNwC8EddHGnsXO6hUxQy8iYw&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoDg-_M3PdiznW2HKp0JbzkdCdPP&vjs=3
Web Developer,ECARE INFOWAY LLP,"₹10,000 - ₹20,000 a month",https://in.indeed.com/viewjob?jk=1f2a7650b47aba4a&q=web+developer&l=India&tk=1h0tlf203jl35801&from=web&advn=6575831702516879&adid=411780528&ad=-6NYlbfkN0BFVeHrEm1kyek2ZyB--hECqA7FXG8ixjKQdms3s9tO1_PayUBfBWOpyOv3ha3XsiKj7_XydWe8Tm_7F5xeZekTTUZEb6Y-CiplViPFBTHQAI9Fy4WBxvyT0nsWUrUaKxZzZxrVf0RqZkVyohqDDtP68pthBYmL7eJI_UPOPrq31OJ5MUfg437JaJ2F35Ao5yN_5JJmsLOxOGXSXm0ApRjChnfVLKfQVwlroLI8DayxbkdP_Ay_Z5eETZO5YMyc7aLlQUR8NYVM7gIhCGfE_41OwSNtUE4YxGBStlFqd9jQDfOUSFMbNHD6WjhZmJ-MK2EWE_JeZRR6JNgEDkste-dy0qC_YPJhZ4p193V8ErIbcFbo6HRZvPyXWZAaPqQCxKh7r4p2HN5HwepXHkC32Lw6Qa8zFR2FKMo%3D&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoDa-_M3PdiznW2HKp0PbzkdCdPP&vjs=3
